text,label
Acrescenta dispositivo ao Código Civil para agilizar a retomada da posse ao possuidor de boa fé em caso de invasão de propriedade.,Ameaça Ao Estado Democrático De Direito
"Acrescenta parágrafo ao Art.1.210, da Lei n° 10.406, de 10 de janeiro de 2002 (Código Civil) para possibilitar a utilização das forças de segurança pública na retomada da posse de propriedades rurais e urbanas que tenham sido invadidas.",Ameaça Ao Estado Democrático De Direito
"Altera a Lei 13.260, de 16 de março de 2016 – Lei Antiterrorismo – para tipificar como ato de terrorismo a invasão de propriedades rurais e urbanas, públicas ou particulares e a aplicação de ações punitivas aos ocupantes e invasores que os praticarem.",Ameaça Ao Estado Democrático De Direito
"Altera a Lei n. 13.260, de 16 de março de 2016, para nela incluir as ações terroristas que especifica.",Ameaça Ao Estado Democrático De Direito
"Altera a Lei nº 13.105, de 16 de março de 2015 – Código de Processo Civil; a Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil; e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal; Lei nº 13.260, de 16 de março de 2016 - Lei Antiterrorismo -; a fim de robustecer as medidas contra a turbação e esbulho de propriedade ou de posse.",Ameaça Ao Estado Democrático De Direito
"Altera a Lei nº 13.260, de 16 de março de 2006, para acrescentar nova hipótese de terrorismo na legislação de regência.",Ameaça Ao Estado Democrático De Direito
"Altera a Lei nº 13.260, de 16 de março de 2016, para classificar o porte ostensivo e ilegal e o disparo de arma de fogo de uso proibido ou restrito como atos de terrorismo.",Ameaça Ao Estado Democrático De Direito
"Altera a Lei nº 13.260, de 16 de março de 2016, para tipificar como terrorismo os ataques em estádios com a utilização de arma, bomba caseira.",Ameaça Ao Estado Democrático De Direito
"Altera a Lei nº 8.112, de 11 de dezembro de 1990, para dispor sobre a realização de exames toxicológicos anuais em servidores públicos federais das áreas de segurança pública, saúde e educação.",Ameaça Ao Estado Democrático De Direito
"Altera a redação da Lei nº 7.716, de 05 de janeiro de 1989, para criminalizar a apologia ao comunismo.",Ameaça Ao Estado Democrático De Direito
"Altera a redação do artigo 2º, inclui o inciso IV no §1º e insere o §3º no art. 2º da Lei 13.260, de 16 de março de 2016, com a finalidade de figurar em seu rol os atos praticados por organizações criminosas.",Ameaça Ao Estado Democrático De Direito
"Altera legislação sobre o terrorismo para incluir hipóteses de medidas assecuratórias de bens, direitos ou valores do investigado ou acusado; altera o Código Penal e o Código de Processo Penal para tratar de medidas cabíveis nos crimes contra o Estado Democrático de Direito.",Ameaça Ao Estado Democrático De Direito
"Altera o art. 161 do Decreto Lei 2.848, de 7 de dezembro de 1940 – Código Penal, para aumentar a pena para o crime de usurpação.",Ameaça Ao Estado Democrático De Direito
"Altera o art. 161 e acrescenta o art. 161-A, do Decreto-Lei n° 2.848, de 7 de dezembro de 1940, Código Penal, para dispor sobre o aumento de pena para o crime de esbulho possessório.",Ameaça Ao Estado Democrático De Direito
"Altera o art. 19 da Lei nº 6.001, de 19 de dezembro de 1973, “Estatuto do Índio”, para impedir o reconhecimento de áreas invadidas como de ocupação tradicional indígena.",Ameaça Ao Estado Democrático De Direito
"Altera o art. 1º da Lei Complementar nº 64, de 18 de maio de 1990, tornando inelegíveis também os condenados por crimes contra o Estado Democrático em decisão transitada em julgado ou proferida por órgão judicial colegiado, desde a condenação até o transcurso do prazo de 8 (oito) anos após o cumprimento da pena.",Ameaça Ao Estado Democrático De Direito
"Altera o art. 2º da Lei nº 13.260, de 16 de março de 2016, para caracterizar como ato de terrorismo a invasão armada de terras particulares, terrenos, lotes, casa ou imóvel rural ,com intensão de ser o futuro proprietário, praticada com violência ou grave ameaça, mediante concurso de mais de duas pessoas.",Ameaça Ao Estado Democrático De Direito
"Altera o art. 92 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para dispor sobre a perda de benefícios assistenciais concedidos pelo Poder Executivo Federal nos casos de invasão de propriedade rural ou urbana, pelo prazo de duração da pena aplicada.",Ameaça Ao Estado Democrático De Direito
"Altera o Código Penal – Decreto-lei n° 2.848/1940, para aumentar Pena dos crimes de violação de domicílio.",Ameaça Ao Estado Democrático De Direito
"Altera o Decreto-Lei nº 2.848, de 07 de dezembro de 1940 – Código Penal, para estabelecer qualificadora ao crime de esbulho possessório",Ameaça Ao Estado Democrático De Direito
"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal Brasileiro, para aumentar as penas previstas para o crime de usurpação de função pública.",Ameaça Ao Estado Democrático De Direito
"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para aumentar as penas previstas para o crime de corrupção passiva.",Ameaça Ao Estado Democrático De Direito
"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para aumentar as penas previstas para o crime de estelionato.",Ameaça Ao Estado Democrático De Direito
"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para aumentar as penas previstas para o crime de peculato.",Ameaça Ao Estado Democrático De Direito
"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal, para dispor sobre a apreensão de bens e o bloqueio de contas bancárias e ativos financeiros nos casos de crimes contra o Estado Democrático de Direito.",Ameaça Ao Estado Democrático De Direito
"Altera-se a Lei nº 13.260, de 16 de março de 2016 para incluir dentre os atos de terrorismo, o crime de esbulho possessório.",Ameaça Ao Estado Democrático De Direito
"Altera-se o Decreto-Lei no 2.848, de 7 de dezembro de 1940, Código Penal, para dispor sobre o crime de esbulho possessório.",Ameaça Ao Estado Democrático De Direito
Aumenta a pena do crime de esbulho possessório.,Ameaça Ao Estado Democrático De Direito
Aumenta a pena do esbulho possessório e estabelece o crime de ocupação como uma forma qualificada desse delito.,Ameaça Ao Estado Democrático De Direito
"Aumenta as penas dos crimes de alteração de limites, de usurpação de águas e de esbulho possessório, previstos no art. 161 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) e prevê como circunstância qualificadora a prática desses crimes por grupos com caráter político e/ou ideológico.",Ameaça Ao Estado Democrático De Direito
Concede anistia aos fatos que especifica.,Ameaça Ao Estado Democrático De Direito
"Concede anistia aos participantes das manifestações reivindicatórias de motivação política ocorridas entre o dia 30 de outubro de 2022 e o dia de entrada em vigor desta Lei, e dá outras providências.",Ameaça Ao Estado Democrático De Direito
Dispõe sobre a pena à prática do esbulho possessório com uso de violência.,Ameaça Ao Estado Democrático De Direito
