user,url,id,desc,music,likes,comments,shares,views,date,challenges,duration
ckargarage,https://m.tiktok.com/v/7050940116965002501,7050940116965002501,"Ckar Garage no YouTube, segue lá...🤟🏻🤟🏻#jetta#jettarline#jettagli#jettamk#volkswagen#vw#virtus#polo#adrenalinabycs#Ckargarage",dance(256762),487200,3665,75400,11500000,2022-01-08 20:48:46+00:00,"virtus, vw, volkswagen, jettarline, jetta, ckargarage, adrenalinabycs, jettagli, polo, jettamk",70
kiefer_d,https://m.tiktok.com/v/6896587732508839173,6896587732508839173,2step Sally made this car show hilarious 😹 #kieferdixon #audi #jetta #2step #shotoniphone,original sound,443200,2844,5433,2800000,2020-11-18 22:03:16+00:00,"kieferdixon, 2step, audi, jetta, shotoniphone",59
el5papi,https://m.tiktok.com/v/7022182893883624710,7022182893883624710,Reply to @gayporninhd nice tag #KFCSecretMenuHacks #driveby #fueling #golf #wagon #fyp #volkswagen #vw #gti #jetta #washing #perpendicular,original sound,421200,1973,1941,5900000,2021-10-23 08:56:05+00:00,"volkswagen, KFCSecretMenuHacks, wagon, jetta, fueling, fyp, washing, perpendicular, gti, golf, vw, driveby",9
luizinn.sz,https://m.tiktok.com/v/7168139541545585926,7168139541545585926,o último slccc 🔥🚀🏌🏽‍♂️ #foryou #carros #vaiprofybct😡🗡️ #opala #fy #saveiro #jetta #chevette #fypシ #golf ,Love You So,414600,5992,8618,3800000,2022-11-20 16:42:28+00:00,"vaiprofybct😡🗡️, fy, foryou, chevette, saveiro, carros, golf, fypシ, jetta, opala",24
antoniomoreeno,https://m.tiktok.com/v/7256196220404747526,7256196220404747526,Pero le echo de la misma gasolina 😎😎#viral #foryou #parati #lamborghini #jetta ,sonido original,386800,1098,4037,8600000,2023-07-15 23:47:22+00:00,"viral, foryou, parati, lamborghini, jetta",36
elbandolero93,https://m.tiktok.com/v/6922042348494933249,6922042348494933249,More yes or no ? 😍 #respect #foryoupage #fyp  #vag  #jetta #loveit,Monster,366800,3190,69300,6200000,2021-01-26 12:19:37+00:00,"respect, foryoupage, fyp, jetta, vag, loveit",59
jacksgarage,https://m.tiktok.com/v/7141750457474518315,7141750457474518315,Outdone by homie's Vdub 😂 #mazda #miata #vw #volkswagen #jetta #2step #launchcontrol #fyp #fypシ #foryoupage ,original sound,344900,473,389,2100000,2022-09-10 13:59:20+00:00,"2step, launchcontrol, jetta, fyp, foryoupage, volkswagen, miata, fypシ, mazda, vw",20
cesarmopar,https://m.tiktok.com/v/7194119275215424774,7194119275215424774,Haciendo el trend pero ahora con el jesse #trend #jetta #jettajesse #mk3 #fastandfurious #rapidoyfurioso #juaritos🇲🇽 #viral #jessie ,Drink A Yak,338900,841,2098,2300000,2023-01-29 16:57:05+00:00,"jessie, jettajesse, jetta, viral, fastandfurious, rapidoyfurioso, juaritos🇲🇽, mk3, trend",19
elbandolero93,https://m.tiktok.com/v/7002463725718359301,7002463725718359301,#vw#volkswagen#mk7#mk6#jetta#car#cars#carsoftiktok#carslover#carguy#cargirl#modified#satisfy#fd#pt#fypシ#foryoupage#pourtoi#parati,Winter / Chill / R & B_No517,338900,1578,6875,8400000,2021-08-31 05:35:39+00:00,"satisfy, pt, foryoupage, carsoftiktok, car, parati, mk7, carslover, modified, fd, jetta, fypシ, pourtoi, vw, carguy, cargirl, mk6, volkswagen, cars",180
fordsixfo,https://m.tiktok.com/v/6996457880320806150,6996457880320806150,She Gets 50-60 MPG😏 #jetta #volkswagen #jettatdi #tdi #dieselcar #alumiduty #ford #powerstroke #diesel #trucks #truckvideos #fordsixfo,original sound,326600,1008,3646,11800000,2021-08-15 01:09:53+00:00,"fordsixfo, alumiduty, jetta, jettatdi, truckvideos, ford, volkswagen, powerstroke, trucks, tdi, dieselcar, diesel",9
denilsonlamonatto,https://m.tiktok.com/v/7129540404495584518,7129540404495584518,É só piadaaaa #vwpolo #volkswagen #gol #voyage #amarok #virtus #tcross #jetta #paz #fyp #f #vaiprofycaramba #naoflopa #carro,Beat Automotivo Tan Tan Tan Viral,325500,3415,17700,4700000,2022-08-08 16:18:05+00:00,"carro, tcross, vaiprofycaramba, paz, amarok, naoflopa, gol, volkswagen, jetta, virtus, f, fyp, voyage, vwpolo",22
mk4.gretta,https://m.tiktok.com/v/7026854565551017221,7026854565551017221,I was so mad when I realized it was gone. Idk if it fell off or someone stole it or what 🥲 #TheHarderTheyFall #volkswagen #jetta #car #cars #viral,original sound,307700,852,222,2400000,2021-11-04 23:04:33+00:00,"car, cars, viral, TheHarderTheyFall, jetta, volkswagen",13
illuminategli,https://m.tiktok.com/v/7258446053358259498,7258446053358259498,Tik tok made me do it..🫡 ##fyp##viral##cleartails##mk6##jetta##vw##dubclub##static,RAGE,306400,1919,5298,4200000,2023-07-22 01:17:58+00:00,"dubclub, cleartails, jetta, fyp, viral, mk6, vw, static",19
thesfour,https://m.tiktok.com/v/7190300395426565382,7190300395426565382,TBT to when I first built the s4  #euro#vw#vdub#audi#jetta#s4#a4#audicanada#quattro#eurocars#staticeuro#b8society#germancar#germanengineering#yeg#yegcars#alberta ,original sound,298700,977,6525,2500000,2023-01-19 09:57:53+00:00,"audicanada, alberta, euro, eurocars, staticeuro, quattro, audi, germancar, germanengineering, jetta, a4, b8society, vdub, vw, yegcars, s4, yeg",9
elpicavolks,https://m.tiktok.com/v/7197127510197341445,7197127510197341445,#mk4 #turbo #jetta #sound #waraudio ,sonido original,287500,1105,8627,2000000,2023-02-06 19:30:34+00:00,"waraudio, mk4, turbo, sound, jetta",33
doe_ryan,https://m.tiktok.com/v/7161119667736562987,7161119667736562987,You win some you lose some. - #carsoftiktok #cars #cartiktok #wrx #wrxsti #subie #cartok #sti #subaru #2step #antilag #turbo #vw #volkswagen #jetta,original sound,277500,937,1489,2000000,2022-11-01 18:41:59+00:00,"volkswagen, sti, wrx, carsoftiktok, subaru, jetta, cars, turbo, antilag, cartok, wrxsti, vw, cartiktok, 2step, subie",17
thomasnkuc,https://m.tiktok.com/v/53331479069487104,53331479069487104, 🌴Beach Workout Vibes🌴  #featureme #GroovyChallenge #BustAMove,I'd love to change the world (matstubs remix),277100,3506,111,290900,2016-01-17 19:12:10+00:00,"groovychallenge, featureme, jetta",11
smokeyyytdi,https://m.tiktok.com/v/6942575896008199429,6942575896008199429,Vegetable oil in da Jetta 🤯🤯     #fyp #viral #foryoupage #xyzbca #foryou #car #fy #tiktok #diesel #tdi #jetta #volkswagen #mcdonalds #exhaust,original sound,266100,2374,4100,1400000,2021-03-22 20:20:17+00:00,"car, jetta, foryou, viral, exhaust, volkswagen, xyzbca, tiktok, fy, mcdonalds, foryoupage, diesel, tdi, fyp",32
crash___tests,https://m.tiktok.com/v/7074612815738211586,7074612815738211586,#volkswagengolf #volvos40 #jetta,Spirits,264100,3176,7035,4300000,2022-03-13 15:50:56+00:00,"volkswagengolf, jetta, volvos40",25
g7ottt,https://m.tiktok.com/v/7234740462240730374,7234740462240730374,,sonido original,246700,726,1812,2400000,2023-05-19 04:08:01+00:00,"jetta, mechanic, auto, vento, ironbless, autos, virtus, cars, car, vr6, carros, cambiodebalatas, volkswagen, mecanica, golf, cambiodediscos, passat, polo, gol, mecanico, lupo, mechanics",230
smokeyyytdi,https://m.tiktok.com/v/6928177472668323078,6928177472668323078,Tdi got upgraded to that mailbox exhaust😎😎   #fyp #diesel #car #foryoupage #xyzbca #tdi #turbo #jetta #tiktok #lope #foryou #exhaust,original sound,240300,1786,20200,1600000,2021-02-12 01:07:16+00:00,"foryoupage, foryou, jetta, xyzbca, diesel, car, tiktok, lope, fyp, tdi, exhaust, turbo",48
ek_vincent00,https://m.tiktok.com/v/7040082854566726958,7040082854566726958,Imma call my insurance for hail damage😏 #vw #fyp#ShareTheMagic#jetta#euromob#hail#carsoftiktok#accident#,sonido original,240100,1612,15000,4800000,2021-12-10 14:37:06+00:00,"ShareTheMagic, euromob, hail, vw, fyp, jetta, carsoftiktok, accident",5
silkyslowjetta.mk7,https://m.tiktok.com/v/7223921355303947526,7223921355303947526,be fr 🤣 #fypage #fypシ゚viral #foryoupage #carsoftiktok #jetta #fyp #relatable #xyzbca #trending #foryou #cartok ,X (feat. Future),222300,1274,2951,1200000,2023-04-20 00:24:24+00:00,"trending, xyzbca, fyp, carsoftiktok, foryou, cartok, fypシ゚viral, foryoupage, relatable, fypage, jetta",7
macie.mk6,https://m.tiktok.com/v/6880579459099970822,6880579459099970822,“build” progress :’) #fyp #cars #cargirl #carguy #vw #jetta #EmilyinParis #carsoftiktok,Up Beat (Married Life),222000,3292,2684,1700000,2020-10-06 18:43:06+00:00,"carsoftiktok, EmilyinParis, fyp, cars, cargirl, carguy, vw, jetta",59
tayalebel,https://m.tiktok.com/v/7170520135101353222,7170520135101353222,My mind is a powerful thing.. i sorry i didnt mean it :( @Andy Schumack #jetta #oldstinky #saskatoon #regina ,My Happy Song,220100,418,1259,999400,2022-11-27 02:40:26+00:00,"oldstinky, jetta, saskatoon, regina",6
illuminategli,https://m.tiktok.com/v/7258454300983135530,7258454300983135530,Replying to @Frost i was not the first so dont blame me😂 #gli #mk6 #cleartails #fyp #jetta #vw ,wit the shits,213400,1431,1715,4300000,2023-07-22 01:50:02+00:00,"cleartails, jetta, fyp, vw, gli, mk6",18
forrestsautoreviews,https://m.tiktok.com/v/7083488095231872298,7083488095231872298,$33K as tested! Worth the money? 🤔 #vw #jetta #gli #fun #cartok #carsoftiktok #foryoupage #foryou,Summerize,211700,1427,4607,1800000,2022-04-06 13:51:34+00:00,"foryou, vw, jetta, gli, fun, cartok, carsoftiktok, foryoupage",56
caden_278,https://m.tiktok.com/v/7057646052337372462,7057646052337372462,cold start in -15 with a hood stack 😏#hoodstack #tdi #vw #jetta#jettatdi,original sound,211100,2710,4870,1000000,2022-01-26 22:31:14+00:00,"vw, jetta, hoodstack, jettatdi, tdi",26
micheel2b,https://m.tiktok.com/v/7118513234960780549,7118513234960780549,Soltei o jetta na mão da mulher 🫣#jetta #fyp #viral #viral #car #volks,O Fim é Triste (feat. DJ BOY),209800,497,3278,2000000,2022-07-09 23:07:02+00:00,"jetta, fyp, viral, car, volks",13
pequenogeniooficial,https://m.tiktok.com/v/7258358486193507590,7258358486193507590,Quem concorda? #julgandocarros #julgandovoce #carros #jeep #renegade #pulse #fiat #jetta #vw #santana #delrey #fy #foryou #foryoupage #fypage #fyoupage ,som original,199900,3254,4637,2700000,2023-07-21 19:38:02+00:00,"santana, julgandocarros, jetta, jeep, fiat, delrey, fy, fyoupage, fypage, pulse, carros, foryou, vw, julgandovoce, renegade, foryoupage",109
leo.netto.37,https://m.tiktok.com/v/6956236366392855813,6956236366392855813,#fy #jetta #tsi #brancogelo #carro #carrobaixo,Ela é Espetacular (Mulher Kama Sutra 2),196800,873,1784,1900000,2021-04-28 15:49:54+00:00,"brancogelo, fy, jetta, carro, carrobaixo, tsi",15
oscaralejarv,https://m.tiktok.com/v/6938086667072900357,6938086667072900357,#pegar un video de @jorge_cars @volkswagenmx Es Broma pero si no quieren no es broma😳#viral #foryou #Humor #comedia #tiktoker #volkswagen #GLI #Jetta,telepatía,192000,1017,442,841200,2021-03-10 17:59:48+00:00,"comedia, humor, jetta, foryou, pegar, gli, tiktoker, volkswagen, viral",45
zakeryty,https://m.tiktok.com/v/7102219976106347822,7102219976106347822,#ftp #fypシ #fyp #mustang #sti #wrx #jetta #toyota #forrunner #summer #gas #gasstation @metallic_sti @elijah_welsh19 @zavarelli,original sound,185700,1629,2414,1700000,2022-05-27 01:20:49+00:00,"fypシ, jetta, fyp, sti, gas, gasstation, ftp, toyota, wrx, forrunner, mustang, summer",7
i4tbanger,https://m.tiktok.com/v/7127532772641623339,7127532772641623339,😭😭 #cartiktok #carsoftiktok #carguy #fyp #cartik #cartok #cars #carstiktok #caroftiktok #car #cleaning #drivingpeople #dirtycar #vw #jetta #mk6,original sound,184700,1144,4547,1300000,2022-08-03 06:27:29+00:00,"mk6, jetta, carsoftiktok, drivingpeople, cars, car, cartok, carguy, cleaning, cartik, cartiktok, caroftiktok, vw, dirtycar, fyp, carstiktok",6
golg6highline,https://m.tiktok.com/v/7170822682177539334,7170822682177539334,Duvido não sair 🚔🚨 #fy #fyp #foryourpage #vaiprofycaramba #viral #cars #meme #carmeme #turbo #rebaixado #motel #motelambulante #explore #explorar #pov #fire #cria #edit #golg6 #volks #jetta #saveiro #bmw #audi #quero #gol #golg6 #golg7 #volks #golf #trend ,som original,183700,907,3207,1500000,2022-11-27 22:14:26+00:00,"meme, saveiro, fire, foryourpage, edit, jetta, turbo, fy, motelambulante, cars, explore, explorar, motel, vaiprofycaramba, rebaixado, audi, viral, fyp, volks, gol, trend, bmw, pov, carmeme, golf, golg6, cria, quero, golg7",15
silkyslowjetta.mk7,https://m.tiktok.com/v/7194610114379271429,7194610114379271429,respectable girls who go to church every sunday> 😻 #fypage #fypシ゚viral #foryoupage #carsoftiktok #jetta #fyp #relatable #xyzbca #trending #foryou #cartok,original sound,177800,1602,4015,895300,2023-01-31 00:41:51+00:00,"carsoftiktok, fypage, relatable, xyzbca, cartok, jetta, foryou, fyp, foryoupage, fypシ゚viral, trending",6
ninatamb,https://m.tiktok.com/v/7205314506417917190,7205314506417917190,sobre namorar alguém com síndrome de ayrton senna #car #jetta #subaru #gearhead ,som original,175000,531,2993,1500000,2023-02-28 21:00:19+00:00,"car, jetta, subaru, gearhead",11
eusoubarone,https://m.tiktok.com/v/7204630320522546437,7204630320522546437,Oq acontece se jogar 20 litros de nitrogênio líquido dentro de um carro?🥶#nitrogenioliquido #jetta #barone #viral,som original - Giorgio Barone,174500,1845,381,4000000,2023-02-27 13:30:00+00:00,"jetta, barone, viral, nitrogenioliquido",199
eu.andreferreira,https://m.tiktok.com/v/6902567512366402817,6902567512366402817,Mais uma pra conta #dehojetapago #carros #jetta #foryou #paravoce,som original,171900,1266,4208,1600000,2020-12-05 00:47:20+00:00,"carros, foryou, paravoce, dehojetapago, jetta",14
brooke_jean4,https://m.tiktok.com/v/7234916336688713003,7234916336688713003,Homeschool kids be wildin #homeschool #tattoo #jetta ,original sound,171600,908,821,1200000,2023-05-19 15:30:54+00:00,"homeschool, tattoo, jetta",5
itssjettaa,https://m.tiktok.com/v/6901136506547637509,6901136506547637509,#stitch with @perla_rodriguez6 I’m dead 🤣🤣 #foryourpage #fyp #jetta,original sound,169000,2580,3170,951800,2020-12-01 04:14:56+00:00,"stitch, foryourpage, fyp, jetta",12
blackhehe.com,https://m.tiktok.com/v/7143915275174284549,7143915275174284549,#fastandfuriosreplica #mitshubishi #fastandfurious #jetta #carmeet #carmeetsplash ,original sound - 𝘽𝙚𝙠𝙨𝙚𝙞𝙩,337500,875,3588,3200000,2022-09-16 10:00:00+00:00,"carmeet, fastandfuriosreplica, mitshubishi, carmeetsplash, fastandfurious, jetta",18
ckargarage,https://m.tiktok.com/v/7162298799262682373,7162298799262682373,"Ckar Garage no YouTube, segue lá...🤟🏻🤟🏻 #jetta #jettarline #jettagli #jettamk #volkswagen #vw #virtus #polo #adrenalinabycs #ckargarage @ckargarage ",som original,168000,594,1537,2100000,2022-11-04 22:57:26+00:00,"vw, adrenalinabycs, jettarline, jettagli, ckargarage, jettamk, jetta, volkswagen, virtus, polo",60
ckargarage,https://m.tiktok.com/v/7080288479627824389,7080288479627824389,"Ckar Garage no YouTube, segue lá...🤟🏻🤟🏻#jetta#jettarline#jettagli@alta.combustao @ckargarage @ckargarage #volkswagen#vw#ckargarage @garagemde0a100",Say It Right - Sped Up Remix,164400,557,11800,4200000,2022-03-28 22:55:25+00:00,"jettagli, ckargarage, jetta, volkswagen, vw, jettarline",60
madison.brune,https://m.tiktok.com/v/7243963948704288042,7243963948704288042,life sucks at the moment but my car heals me💔🥲 #fyp #cartok #carsoftiktok #cargirls #relatable #jetta #volkswagen #sadtok #florida #transition ,original sound,162900,647,581,974900,2023-06-13 00:39:59+00:00,"carsoftiktok, transition, cargirls, relatable, florida, jetta, fyp, volkswagen, sadtok, cartok",10
el5papi,https://m.tiktok.com/v/7008993224316636421,7008993224316636421,took the most important test today #toxic #hersmile #assortitschallenge #vw #volkswagen #jetta #ZFlipClackdown,original sound,159800,800,2267,1900000,2021-09-17 19:53:24+00:00,"ZFlipClackdown, hersmile, assortitschallenge, toxic, volkswagen, vw, jetta",11
andretsi_,https://m.tiktok.com/v/7181659781688560902,7181659781688560902,Ghost 👻👻 #jetta #carros #humor,som original,158800,715,1712,1100000,2022-12-27 03:08:00+00:00,"jetta, carros, humor",12
t_m_a_b_1,https://m.tiktok.com/v/7131705078754364673,7131705078754364673,#ماشاءالله_تبارك_الله #سيارات_فخمة #محركات_سيارات #سوريا_تركيا_العراق_السعودية_الكويت_عمان #volkswagen #JETTA,الصوت الأصلي,158400,752,446,5400000,2022-08-14 12:18:09+00:00,"محركات_سيارات, ماشاءالله_تبارك_الله, سيارات_فخمة, سوريا_تركيا_العراق_السعودية_الكويت_عمان, volkswagen, jetta",15
ap_is_me,https://m.tiktok.com/v/7076177462710897925,7076177462710897925,Don’t get caught lacking #vw #jetta #mk4 #tdi #alh #toronto #Diesel #toronto #rollingcoal #lights,1 Scale,157100,441,528,1700000,2022-03-17 21:02:34+00:00,"lights, mk4, tdi, toronto, rollingcoal, vw, jetta, alh, diesel",10
vogenn,https://m.tiktok.com/v/7172241661714533638,7172241661714533638,Did some negotiating and ended up w a lil project #foryoupage #foryou #trending #viral #German #VW #Jetta #car #cars ,original sound,156900,1115,1110,1700000,2022-12-01 18:00:46+00:00,"trending, viral, foryou, jetta, vw, cars, german, foryoupage, car",0
mk6_ethan,https://m.tiktok.com/v/7178504870981520686,7178504870981520686,2022 working fix #volkswagen #vw #carcommunity #car #carguy #cartok #cars #jetta #mk6 #mk6jetta #foryou #fyp #foryoupage #gti ,muerto gang,147800,2103,14300,1900000,2022-12-18 15:05:28+00:00,"cars, jetta, foryou, mk6, mk6jetta, vw, gti, cartok, volkswagen, carguy, car, carcommunity, foryoupage, fyp",0
grndzero,https://m.tiktok.com/v/7039764517571579182,7039764517571579182,Drivers license from the back of a cereal box. #cartiktok #car #foryou #foryoupage #gti #jetta #slowdrivers #ram #altima #tailgateszn #headache,Own Brand Freestyle,147800,4042,7426,1500000,2021-12-09 18:01:46+00:00,"jetta, cartiktok, slowdrivers, gti, foryoupage, ram, altima, car, tailgateszn, headache, foryou",17
smokeyyytdi,https://m.tiktok.com/v/6930396268091165958,6930396268091165958,The Jetta stay blessin 🙏🙏 #ashwednesday #fyp #diesel #car #foryoupage #xyzbca #tdi #turbo #jetta #tiktok #exhaust #foryou @domyetti @devdank,Ave Maria,147800,738,6039,671600,2021-02-18 00:37:19+00:00,"turbo, jetta, foryou, tiktok, xyzbca, ashwednesday, tdi, exhaust, diesel, foryoupage, fyp, car",29
brendowncruz,https://m.tiktok.com/v/6923653780290407685,6923653780290407685,#fy #vemdeglock #jetta #saveiro #cruze #vw #chevrolet,Vem de Glock na Cintura,147600,1059,2441,1100000,2021-01-30 20:32:54+00:00,"saveiro, vw, chevrolet, cruze, vemdeglock, fy, jetta",5
akgunwalker,https://m.tiktok.com/v/7246498436109847813,7246498436109847813,#vw #volkswagen #jetta #piyasa #piyasaaraba #araba #arabavideolari #jettarline #ayarline #ayarline✈️ #vwjetta #piyasaarabası ,orijinal ses,161000,0,9980,2100000,2023-06-19 20:35:00+00:00,"piyasa, piyasaaraba, jetta, araba, ayarline, jettarline, vwjetta, vw, ayarline✈️, piyasaarabası, volkswagen, arabavideolari",20
guinobreyt,https://m.tiktok.com/v/6955905753416731909,6955905753416731909,Quando carro quer andar #jetta #foryou #fy,som original,147000,491,431,1800000,2021-04-27 18:26:57+00:00,"jetta, foryou, fy",8
i4tbanger,https://m.tiktok.com/v/7082829016457268526,7082829016457268526,💀 #carsoftiktok #cartiktok #carguy #fyp #workoncars #cartok #cartik #carsoftiktok #cars #gf #vw #jetta #mk6,Wow,146600,2243,3702,1200000,2022-04-04 19:14:00+00:00,"vw, workoncars, cartik, cartok, carsoftiktok, cartiktok, fyp, gf, carguy, cars, mk6, jetta",8
brothers_vag,https://m.tiktok.com/v/7088740999266159877,7088740999266159877,Pantalla CarPlay para VW #brothersvag #fyp #audi #jetta #gdl #cars #car #cartuning,Roses (Imanbek Remix),146400,1850,3458,3900000,2022-04-20 17:35:31+00:00,"jetta, fyp, audi, gdl, cars, car, cartuning, brothersvag",129
gearmind,https://m.tiktok.com/v/7222116607936662789,7222116607936662789,Vlw fml #jetta #vw #volkswagen #jdm #lancer #mitsubishi ,som original,144600,1018,309,1400000,2023-04-15 03:41:04+00:00,"lancer, mitsubishi, jetta, vw, volkswagen, jdm",8
luismariz,https://m.tiktok.com/v/219079676592402432,219079676592402432,Dubstep da Capivara. #DubleUmDubstep,I'd love to change the world (matstubs remix),143700,1294,7,410100,2017-04-19 04:16:20+00:00,"dubleumdubstep, jetta",13
fordsixfo,https://m.tiktok.com/v/6922664137218739462,6922664137218739462,Me And @ledsolutions_  Absolutely Killed My Jetta’s Headliner✨ #led #fiberoptics #fiberoptic #rollsroyce #starheadliner #cars #diesel #jetta #tdi #fyp,Rasputin (Single Version),142800,520,4580,1000000,2021-01-28 04:32:53+00:00,"led, fiberoptics, diesel, starheadliner, jetta, fyp, rollsroyce, tdi, fiberoptic, cars",20
ditii_bree,https://m.tiktok.com/v/7154775318199356677,7154775318199356677,SPORT+❤️‍🔥#fyp #viral #wolkswagen #mk2 #jetta,оригинальный звук,142100,428,2216,5000000,2022-10-15 16:22:27+00:00,"fyp, viral, jetta, wolkswagen, mk2",8
builtbythomas,https://m.tiktok.com/v/6996670876343160069,6996670876343160069,👺👺👺 #jetta #mk6jetta #gli #mk7r #mk7gti #b58 #rs3 #etuners #volkswagen,original sound,140800,1252,2910,739300,2021-08-15 14:56:25+00:00,"gli, jetta, volkswagen, etuners, mk7r, mk7gti, b58, rs3, mk6jetta",14
treyberger30,https://m.tiktok.com/v/6950817349322820870,6950817349322820870,Brothers💪🏼❤️@mk5_jetta #fyp #fordfusion #jetta #mk5 #cartiktok #cars #redlinecrew #fastandfurious #paulwalker #vindiesel,original sound,139000,1408,7588,910300,2021-04-14 01:21:22+00:00,"fyp, redlinecrew, cartiktok, vindiesel, mk5, fastandfurious, cars, jetta, paulwalker, fordfusion",18
eclipseblack95,https://m.tiktok.com/v/7210109733330504966,7210109733330504966,#CapCut #fy #fyp #foryou #cars #gearhead #jdm #sjp #eclipse #eclipsegst #mitsubishi #dsm #jetta #320i #bmw #porsche #carros #turbo #turbão #mitsubishieclipse #eclipse2g #4g63 #4g63t #jdm #dsm ,original sound,138800,424,899,906300,2023-03-13 19:08:15+00:00,"320i, mitsubishi, foryou, eclipse, eclipse2g, 4g63, capcut, fyp, carros, sjp, jdm, bmw, cars, 4g63t, jetta, fy, eclipsegst, turbão, mitsubishieclipse, gearhead, turbo, dsm, porsche",8
umit_can7,https://m.tiktok.com/v/7192686863742733574,7192686863742733574,Sizce ne demeye çalışıyor 😂🧿 #jetta #jettagli #jettamk6 #jettatsi #jettarline #jettatürkiye #jettamk #warex #downpipe #volkswagenjetta #öneallll #fyp #capcutตัดต่อง่ายกว่าที่คิด #günbatımı #modifiyesever #arabacı #tuning07 ,orijinal ses,136500,456,2313,2100000,2023-01-25 20:18:36+00:00,"modifiyesever, jettamk, jetta, tuning07, volkswagenjetta, arabacı, capcutตัดต่อง่ายกว่าที่คิด, jettamk6, jettagli, jettatsi, warex, öneallll, günbatımı, fyp, jettatürkiye, jettarline, downpipe",5
jettaostg3,https://m.tiktok.com/v/7187629050523929861,7187629050523929861,😂😂😂 #jetta #jettatsi ,som original,135700,287,1312,1300000,2023-01-12 05:11:55+00:00,"jetta, jettatsi",6
